pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
623,NA,NA,מירקין:,דיאמנט: לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך.,דיאמנט: לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך.</p></sp>",NA,mirkin,,NA,NA,NA,NA
624,NA,NA,דיאמנט:,"מירקין: סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.","מירקין: סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.</p></sp>",NA,diamenet,,NA,NA,NA,NA
625,NA,NA,מירקין:,דיאמנט: מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה הרוצח והנרצח. זה מול זה.,דיאמנט: מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה הרוצח והנרצח. זה מול זה.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה הרוצח והנרצח. זה מול זה.</p></sp>",NA,mirkin,,NA,NA,NA,NA
626,NA,NA,דיאמנט:,"מירקין: ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.","מירקין: ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.</p></sp>",NA,diamenet,,NA,NA,NA,NA
627,NA,NA,מירקין:,"דיאמנט: הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאם
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי.","דיאמנט: הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאם
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאם
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי.</p></sp>",NA,mirkin,,NA,NA,NA,NA
628,NA,NA,דיאמנט:,"מירקין: אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים.","מירקין: אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים.</p></sp>",NA,diamenet,,NA,NA,NA,NA
629,NA,NA,מירקין:,דיאמנט: דברי אמת? מבטיח?,דיאמנט: דברי אמת? מבטיח?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: דברי אמת? מבטיח?</p></sp>",NA,mirkin,,NA,NA,NA,NA
630,NA,NA,דיאמנט:,מירקין: אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?,מירקין: אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?</p></sp>",NA,diamenet,,NA,NA,NA,NA
631,NA,NA,מירקין:,דיאמנט: אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?,דיאמנט: אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: אם רצונך בכך – נגן על אלף מגרפות דודים וכלי כביסה. מה איכפת לי?</p></sp>",NA,mirkin,,NA,NA,NA,NA
632,NA,NA,דיאמנט:,ראובן: הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.,ראובן: הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>ראובן: הכל נגמר ונסתיים מירי החליטה להפקיר את חייה למען הציל אותך מבית־הסהר.</p></sp>",NA,diamenet,,NA,NA,NA,NA
633,NA,NA,ראובן:,"מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל צפוי
והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה. חתונה
היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך על הרך
הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה. הנהו
הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות.","מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל צפוי
והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה. חתונה
היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך על הרך
הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה. הנהו
הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות.","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: נדבר בעוד שעה. לא היא החליטה. עכשיו הכל צפוי
והזמן דוחק. חתונה בעיר. חתונה בעיר, ואני נשכרתי לנגן בה בחתונה. חתונה
היא ברכה על הזווג. הזווג הוא דרך גבר בעלמה, ובעוד תשעה ירחים נברך על הרך
הנולד ודמותו דמות מפלצת. הוא לא יולד זמיר. עורב שחור יבוא מחלציה. הנהו
הכנור. בכסף הנגינה יש לי מה לקנות? כמה פרוטות עולה היום בשוק נשמה
בזויה?! אני חייב לשחררה מתוך הגוף. היא נאנחת שם ומיללת כחיה פצועה, אין
אומר ודברים. שים ראשך אל לבו של דיאמנט. אתה שומע את היללה? הקשב היטב.
נשמתו מבקשת לפרוץ לה דרך ולהמלט, אך השערים נעולים עדיין, ובידי צרור
המפתחות.</p></sp>",NA,ruben,,NA,NA,NA,NA
634,NA,NA,מירקין:,ראובן: עלי ללכת.,ראובן: עלי ללכת.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: עלי ללכת.</p></sp>",NA,mirkin,,NA,NA,NA,NA
635,NA,NA,ראובן:,מירקין: לך. אנחנו עוד נתראה.,מירקין: לך. אנחנו עוד נתראה.,"<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: לך. אנחנו עוד נתראה.</p></sp>",NA,ruben,,NA,NA,NA,NA
636,NA,NA,מירקין:,"ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.","ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: לא תמצאני, מירקין. אדם אחר תמצא, ולא אני אהיה הוא. לא אני.</p></sp>",NA,mirkin,,NA,NA,NA,NA
637,NA,NA,ראובן:,"מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.","מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: שוב אחזירך אל עצמך, רוביק, כי גם אני אל עצמי
חוזר מדרך ארוכה מאד. הרי ספרתי לך על דחליל מוזר. הוא יעצום עינים בעוד
כמה דקות.</p></sp>",NA,ruben,,NA,NA,NA,NA
638,NA,NA,מירקין:,"ראובן: יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. (מסיר את תכנית הבית מעל הקיר) אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
(בוכה)","ראובן: יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. (מסיר את תכנית הבית מעל הקיר) אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
(בוכה)","<sp who=""#mirkin""><speaker>מירקין</speaker><p>ראובן: יותר לא אטרידך, מירקין. הכל נחרב ונהרס. אקח
רק זאת למזכרת חלומותי. <stage> מסיר את תכנית הבית מעל הקיר </stage> אין יותר צורך
בתכנית זו. בית קטן על ההר. משפחה. ילדים. עצי שזיף ועצי תפוח..
<stage> בוכה </stage></p></sp>",NA,mirkin,,NA,NA,NA,NA
639,NA,NA,ראובן:,"מירקין: אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.","מירקין: אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.","<sp who=""#ruben""><speaker>ראובן</speaker><p>מירקין: אל בכי, רוביק. אסור לאבד את התקוה, כי אין ברירה אחרת. אל אלוהים, אין ברירה אחרת.</p></sp>",NA,ruben,,NA,NA,NA,NA
640,NA,NA,מירקין:,דיאמנט: הוא נשתבש בשכל הישר. (ראובן יוצא),דיאמנט: הוא נשתבש בשכל הישר. (ראובן יוצא),"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: הוא נשתבש בשכל הישר. <stage> ראובן יוצא </stage></p></sp>",NA,mirkin,,NA,NA,NA,NA
641,NA,NA,דיאמנט:,"מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה יותר נאה מזו לא נשמעה מיום בו נבראו היונה והעורב. האם שמעתם
מעודכם כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם,
גם אתה לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע.? ברכתי
לך דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון
קדיש וזכרון למתים, ולא הם יהללו יה. לא הם.","מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה יותר נאה מזו לא נשמעה מיום בו נבראו היונה והעורב. האם שמעתם
מעודכם כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם,
גם אתה לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע.? ברכתי
לך דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון
קדיש וזכרון למתים, ולא הם יהללו יה. לא הם.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: השכל הישר עקום הוא. היא מסכימה להנשא לו. חי
שמים, הלצה יותר נאה מזו לא נשמעה מיום בו נבראו היונה והעורב. האם שמעתם
מעודכם כי נזדוגה, יונה אל עורב שחור והוא חבקה בצפרני טלפיו?! לא שמעתם,
גם אתה לא שמעת, דיאמנט? ובכן, אולי כך נולד הנחש הצפעוני. מי יודע.? ברכתי
לך דיאמנט. הרי חתן דומה למלך. אנגן לנשואיך עם בתי שלי. שומע? זהו נגון
קדיש וזכרון למתים, ולא הם יהללו יה. לא הם.</p></sp>",NA,diamenet,,NA,NA,NA,NA
642,NA,NA,מירקין:,דיאמנט: והרי אין כל כנור בזרועך.,דיאמנט: והרי אין כל כנור בזרועך.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: והרי אין כל כנור בזרועך.</p></sp>",NA,mirkin,,NA,NA,NA,NA
643,NA,NA,דיאמנט:,"מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.","מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: ח ח ח. כולי כנור, וכל מיתר בו מנקש כמאה תופים וחצוצרות לפני הקרב.</p></sp>",NA,diamenet,,NA,NA,NA,NA
644,NA,NA,מירקין:,"דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.","דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: מה היא העמדת פנים זו של לץ, שוטה וגם מוקיון קרקס. לחתונה יחסר לי רק בדחן ולא יותר. אין צורך להפריז, מירקין.</p></sp>",NA,mirkin,,NA,NA,NA,NA
645,NA,NA,דיאמנט:,"מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה.
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה, אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)","מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה.
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה, אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: שקט. הס. לשילוש הקדוש חסרים פה תוף וחצוצרה.
כדי לברך על הזוג. הבה אטול את כנורי. אנגן לך שיר של חתונה. חתן דומה
למלך. קול ששון וקול שמחה. קול חתן וקול כלה. (הולך לפנת הבמה, אין רואים
אותו. רואים את צלו ברקע. מנגן “כל־נדרי”)</p></sp>",NA,diamenet,,NA,NA,NA,NA
646,NA,NA,מירקין:,"מירי: (נכנסת) רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול…","מירי: (נכנסת) רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול…","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: <stage> נכנסת </stage> רוביק הלך, ועכשיו, דיאמנט, שוב אין כל מכשול…</p></sp>",NA,mirkin,,NA,NA,NA,NA
647,NA,NA,מירי:,דיאמנט: אנחנו יודעים.,דיאמנט: אנחנו יודעים.,"<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: אנחנו יודעים.</p></sp>",NA,miri,,NA,NA,NA,NA
648,NA,NA,דיאמנט:,מירי: ולא תסגיר את אבא לכלא?,מירי: ולא תסגיר את אבא לכלא?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: ולא תסגיר את אבא לכלא?</p></sp>",NA,diamenet,,NA,NA,NA,NA
649,NA,NA,מירי:,דיאמנט: לא.,דיאמנט: לא.,"<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: לא.</p></sp>",NA,miri,,NA,NA,NA,NA
650,NA,NA,דיאמנט:,מירי: אני כתבתי – ואתה תחתום. עדות שאבא חף מפשע. (מוסרת פתק לדיאמנט),מירי: אני כתבתי – ואתה תחתום. עדות שאבא חף מפשע. (מוסרת פתק לדיאמנט),"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: אני כתבתי – ואתה תחתום. עדות שאבא חף מפשע. <stage> מוסרת פתק לדיאמנט </stage></p></sp>",NA,diamenet,,NA,NA,NA,NA
651,NA,NA,מירי:,"דיאמנט: (קורא) “הנני מעיד, כי מירקין הנו חף מפשע,
והתנהגותו במחנה הרכוז זורין היתה ללא כל דופי!” מנוסח לא רע. האם מירקין
בקש שתכתבי זאת?","דיאמנט: (קורא) “הנני מעיד, כי מירקין הנו חף מפשע,
והתנהגותו במחנה הרכוז זורין היתה ללא כל דופי!” מנוסח לא רע. האם מירקין
בקש שתכתבי זאת?","<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: <stage> קורא </stage> “הנני מעיד, כי מירקין הנו חף מפשע,
והתנהגותו במחנה הרכוז זורין היתה ללא כל דופי!” מנוסח לא רע. האם מירקין
בקש שתכתבי זאת?</p></sp>",NA,miri,,NA,NA,NA,NA
652,NA,NA,דיאמנט:,מירי: חתום על העדות אם רצונך בי. חתום.,מירי: חתום על העדות אם רצונך בי. חתום.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: חתום על העדות אם רצונך בי. חתום.</p></sp>",NA,diamenet,,NA,NA,NA,NA
653,NA,NA,מירי:,דיאמנט: ואחר כך?,דיאמנט: ואחר כך?,"<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: ואחר כך?</p></sp>",NA,miri,,NA,NA,NA,NA
654,NA,NA,דיאמנט:,מירי: אתן זאת בידי אבי… וכולי אהיה… שלך.,מירי: אתן זאת בידי אבי… וכולי אהיה… שלך.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: אתן זאת בידי אבי… וכולי אהיה… שלך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
655,NA,NA,מירי:,"דיאמנט: טוב. יהיה כרצונך. הנה, חתימתי.","דיאמנט: טוב. יהיה כרצונך. הנה, חתימתי.","<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: טוב. יהיה כרצונך. הנה, חתימתי.</p></sp>",NA,miri,,NA,NA,NA,NA
656,NA,NA,דיאמנט:,"מירי: אבא. אבא, ראה, הנה דיאמנט חתם והעיד בזאת שאין ולא היה לו שום דבר נגדך.","מירי: אבא. אבא, ראה, הנה דיאמנט חתם והעיד בזאת שאין ולא היה לו שום דבר נגדך.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: אבא. אבא, ראה, הנה דיאמנט חתם והעיד בזאת שאין ולא היה לו שום דבר נגדך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
657,NA,NA,מירי:,"מירקין: (נגש לדיאמנט ומגיש אגרופו לפני סנטרו של
דיאמנט) נפץ את הכוס, דיאמנט, בסמן טוב ובמזל־טוב. לחיים, יהודים. לחיים
יהודים.","מירקין: (נגש לדיאמנט ומגיש אגרופו לפני סנטרו של
דיאמנט) נפץ את הכוס, דיאמנט, בסמן טוב ובמזל־טוב. לחיים, יהודים. לחיים
יהודים.","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: (נגש לדיאמנט ומגיש אגרופו לפני סנטרו של
דיאמנט) נפץ את הכוס, דיאמנט, בסמן טוב ובמזל־טוב. לחיים, יהודים. לחיים
יהודים.</p></sp>",NA,miri,,NA,NA,NA,NA
658,NA,NA,מירקין:,"מירי: אבא, דיאמנט הסכים לשחרר אותך. הנך אדם חפשי.","מירי: אבא, דיאמנט הסכים לשחרר אותך. הנך אדם חפשי.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: אבא, דיאמנט הסכים לשחרר אותך. הנך אדם חפשי.</p></sp>",NA,mirkin,,NA,NA,NA,NA
659,NA,NA,מירי:,מירקין: טעות. אני אשחרר אותו.,מירקין: טעות. אני אשחרר אותו.,"<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: טעות. אני אשחרר אותו.</p></sp>",NA,miri,,NA,NA,NA,NA
660,NA,NA,מירקין:,"מירי: לא הבינות, אבא.","מירי: לא הבינות, אבא.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: לא הבינות, אבא.</p></sp>",NA,mirkin,,NA,NA,NA,NA
661,NA,NA,מירי:,"מירקין: הבינותי הכל. ואת מאמינה, ילדה, כי הצלת אותי בהקריבך עצמך?","מירקין: הבינותי הכל. ואת מאמינה, ילדה, כי הצלת אותי בהקריבך עצמך?","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: הבינותי הכל. ואת מאמינה, ילדה, כי הצלת אותי בהקריבך עצמך?</p></sp>",NA,miri,,NA,NA,NA,NA
662,NA,NA,מירקין:,"מירי: אינני רוצה שתובא אל בית־המשפט. אינני מאמינה
בהאשמות אלו. אינני מאמינה ואיש לא ישכנעני להאמין בכך, ופחות מכולם
דיאמנט!","מירי: אינני רוצה שתובא אל בית־המשפט. אינני מאמינה
בהאשמות אלו. אינני מאמינה ואיש לא ישכנעני להאמין בכך, ופחות מכולם
דיאמנט!","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: אינני רוצה שתובא אל בית־המשפט. אינני מאמינה
בהאשמות אלו. אינני מאמינה ואיש לא ישכנעני להאמין בכך, ופחות מכולם
דיאמנט!</p></sp>",NA,mirkin,,NA,NA,NA,NA
663,NA,NA,מירי:,מירקין: אמרי לו זאת.,מירקין: אמרי לו זאת.,"<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: אמרי לו זאת.</p></sp>",NA,miri,,NA,NA,NA,NA
664,NA,NA,מירקין:,דיאמנט: גם אני שמעתי.,דיאמנט: גם אני שמעתי.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: גם אני שמעתי.</p></sp>",NA,mirkin,,NA,NA,NA,NA
665,NA,NA,דיאמנט:,"מירקין: לא זאת. לא זאת. אמרי לדיאמנט, כי אני אבוא אל בית־המשפט ורצוני בכך, ועל עוון של רצח. כן, זהו רצוני.","מירקין: לא זאת. לא זאת. אמרי לדיאמנט, כי אני אבוא אל בית־המשפט ורצוני בכך, ועל עוון של רצח. כן, זהו רצוני.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: לא זאת. לא זאת. אמרי לדיאמנט, כי אני אבוא אל בית־המשפט ורצוני בכך, ועל עוון של רצח. כן, זהו רצוני.</p></sp>",NA,diamenet,,NA,NA,NA,NA
666,NA,NA,מירקין:,מירי: אמת היא?,מירי: אמת היא?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: אמת היא?</p></sp>",NA,mirkin,,NA,NA,NA,NA
667,NA,NA,מירי:,מירקין: אמת.,מירקין: אמת.,"<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: אמת.</p></sp>",NA,miri,,NA,NA,NA,NA
668,NA,NA,מירקין:,מירי: זאת אומרת שדיאמנט צודק?!,מירי: זאת אומרת שדיאמנט צודק?!,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: זאת אומרת שדיאמנט צודק?!</p></sp>",NA,mirkin,,NA,NA,NA,NA
669,NA,NA,מירי:," צודק. עוון. ויש פה כפרה אחת רק לעוון – לכפר עליו במעשה צדקה. ספר לה, דיאמנט. את כל האמת מבלי להסתיר דבר.","מירי: צודק. עוון. ויש פה כפרה אחת רק לעוון – לכפר עליו במעשה צדקה. ספר לה, דיאמנט. את כל האמת מבלי להסתיר דבר.","<sp who=""#miri""><speaker>מירי</speaker><p> צודק. עוון. ויש פה כפרה אחת רק לעוון – לכפר עליו במעשה צדקה. ספר לה, דיאמנט. את כל האמת מבלי להסתיר דבר.</p></sp>",NA,miri,,NA,NA,NA,NA
670,NA,NA,מירי:,דיאמנט: מוטב אחרי הנשואים.,דיאמנט: מוטב אחרי הנשואים.,"<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: מוטב אחרי הנשואים.</p></sp>",NA,miri,,NA,NA,NA,NA
671,NA,NA,דיאמנט:,"מירקין: לא. אז יהיה מאוחר מדי. גלה לה כאן, עכשיו.","מירקין: לא. אז יהיה מאוחר מדי. גלה לה כאן, עכשיו.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: לא. אז יהיה מאוחר מדי. גלה לה כאן, עכשיו.</p></sp>",NA,diamenet,,NA,NA,NA,NA
672,NA,NA,מירקין:,דיאמנט: מדוע זה תאיץ בי ככה?,דיאמנט: מדוע זה תאיץ בי ככה?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: מדוע זה תאיץ בי ככה?</p></sp>",NA,mirkin,,NA,NA,NA,NA
673,NA,NA,דיאמנט:,מירקין: חייב אני לכפר על חטא גדול.,מירקין: חייב אני לכפר על חטא גדול.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: חייב אני לכפר על חטא גדול.</p></sp>",NA,diamenet,,NA,NA,NA,NA
674,NA,NA,מירקין:,דיאמנט: אתה מודה בכך?,דיאמנט: אתה מודה בכך?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: אתה מודה בכך?</p></sp>",NA,mirkin,,NA,NA,NA,NA
